cell_id,carrier_id,w,throat_class,e,R,a,sphere_likeness_rms,spiral_family,spiral_id,log_multiplier,b,scale,k,theta_outer,theta_inner,r_outer,r_inner,u_outer,v_outer,u_inner,v_inner,p_outer,p_inner,tau_outer,tau_inner,dot_d,cross_norm_c,delta_ambient_directed_rad,delta_ambient_directed_deg,residual_ambient_directed,directed_state,delta_ambient_line_rad,delta_ambient_line_deg,line_state,parallel_transport_used,image_pixel_data_used,technical_error
VB-W02-E14-RECIPROCAL-G30,VB-W02-E14,0.02,NARROW,1.4,0.51,0.49,0.05334433125747475,Reciprocal,RECIPROCAL,,,G30,0.5773502691896257,1.0,10.42477796076938,1.0,0.09592530447777489,0.0,0.0,2.8096367683208663,9.42477796076938,"[1.0, 0.0, 0.0]","[-0.046750695728663916, 1.717592696460603e-17, 0.22356243177367963]","[0.0, -0.48931954282969004, -0.872104572287603]","[-0.09883572487282416, 0.9105510166517023, 0.4014079540360588]",-0.7956201192585795,0.6057958615168677,2.4908268632386785,142.7138667613858,1.895056790314517,AMBIENT_DIRECTED_NOT_PARALLEL,0.6507657903511147,37.28613323861423,AMBIENT_LINE_NOT_PARALLEL,False,False,
VB-W02-E14-RECIPROCAL-GHALF,VB-W02-E14,0.02,NARROW,1.4,0.51,0.49,0.05334433125747475,Reciprocal,RECIPROCAL,,,GHALF,0.5463024898437905,1.0,10.42477796076938,1.0,0.09592530447777489,0.0,0.0,2.8126280631813176,9.42477796076938,"[1.0, 0.0, 0.0]","[-0.04627509672869318, 1.7001194726708476e-17, 0.22162143309841117]","[0.0, -0.482876861814984, -0.8756882643519397]","[-0.09808232511271998, 0.9102610716506926, 0.40224947350843776]",-0.7917891530041162,0.6107945130606727,2.484529010366878,142.35302637183725,1.8930341534183244,AMBIENT_DIRECTED_NOT_PARALLEL,0.6570636432229157,37.64697362816276,AMBIENT_LINE_NOT_PARALLEL,False,False,
VB-W02-E14-LOG-M050-G30,VB-W02-E14,0.02,NARROW,1.4,0.51,0.49,0.05334433125747475,Logarithmic,LOG-M050,0.5,0.1243629016242374,G30,0.5773502691896257,1.0,10.42477796076938,1.0,0.30971810485952367,0.0,0.0,2.0799184771396644,9.42477796076938,"[1.0, 0.0, 0.0]","[-0.271168648995867, 9.962574540657019e-17, 0.5989964842334048]","[0.0, -0.9763053136230149, -0.21639763074365334]","[-0.19749065370021338, 0.9680793216995565, 0.15433686727023163]",-0.9785391181975169,0.20606114179346444,2.9340446556244073,168.1083756701936,1.9892406180236302,AMBIENT_DIRECTED_NOT_PARALLEL,0.20754799796538587,11.891624329806406,AMBIENT_LINE_NOT_PARALLEL,False,False,
VB-W02-E14-LOG-M050-GHALF,VB-W02-E14,0.02,NARROW,1.4,0.51,0.49,0.05334433125747475,Logarithmic,LOG-M050,0.5,0.1243629016242374,GHALF,0.5463024898437905,1.0,10.42477796076938,1.0,0.30971810485952367,0.0,0.0,2.08845349218488,9.42477796076938,"[1.0, 0.0, 0.0]","[-0.2675256465730398, 9.828732802964977e-17, 0.5961209007769716]","[0.0, -0.9754989460173337, -0.22000410523231453]","[-0.19791354192733518, 0.9674370418271236, 0.1577840296815898]",-0.9784469489105334,0.20649834906765704,2.933597838680468,168.08277494509093,1.9891942835784209,AMBIENT_DIRECTED_NOT_PARALLEL,0.20799481490932542,11.917225054909077,AMBIENT_LINE_NOT_PARALLEL,False,False,
VB-W02-E14-LOG-M075-G30,VB-W02-E14,0.02,NARROW,1.4,0.51,0.49,0.05334433125747475,Logarithmic,LOG-M075,0.75,0.1865443524363561,G30,0.5773502691896257,1.0,10.42477796076938,1.0,0.17236531991943516,0.0,0.0,2.5464610914148955,9.42477796076938,"[1.0, 0.0, 0.0]","[-0.10424337253823779, 3.82983937533834e-17, 0.38458374402837037]","[0.0, -0.9489275565673645, -0.3154940449312654]","[-0.24172345696661784, 0.8316900807984187, 0.4998613606327535]",-0.9469169187642308,0.32147838023427855,2.8143023226698145,161.24764536284516,1.9732799693729377,AMBIENT_DIRECTED_NOT_PARALLEL,0.32729033091997894,18.752354637154863,AMBIENT_LINE_NOT_PARALLEL,False,False,
VB-W02-E14-LOG-M075-GHALF,VB-W02-E14,0.02,NARROW,1.4,0.51,0.49,0.05334433125747475,Logarithmic,LOG-M075,0.75,0.1865443524363561,GHALF,0.5463024898437905,1.0,10.42477796076938,1.0,0.17236531991943516,0.0,0.0,2.5516847093392996,9.42477796076938,"[1.0, 0.0, 0.0]","[-0.10281397301297873, 3.7773240887390024e-17, 0.3816111859943162]","[0.0, -0.94726394140171, -0.3204544044323587]","[-0.24069211989289685, 0.8298693657695037, 0.5033727636441855]",-0.9474133454484254,0.32001242611221004,2.8158500504943933,161.3363236350285,1.9735315277179766,AMBIENT_DIRECTED_NOT_PARALLEL,0.3257426030953998,18.663676364971515,AMBIENT_LINE_NOT_PARALLEL,False,False,
VB-W02-E14-LOG-M100-G30,VB-W02-E14,0.02,NARROW,1.4,0.51,0.49,0.05334433125747475,Logarithmic,LOG-M100,1.0,0.2487258032484748,G30,0.5773502691896257,1.0,10.42477796076938,1.0,0.0959253044777749,0.0,0.0,2.8096367683208663,9.42477796076938,"[1.0, 0.0, 0.0]","[-0.046750695728663916, 1.717592696460603e-17, 0.22356243177367963]","[0.0, -0.9141997368062873, -0.40526391552088026]","[-0.18221336920644457, 0.6474152344018291, 0.7400350007579781]",-0.8917763189242088,0.4524765154192957,2.672052205771604,153.0973140293351,1.9451356348204663,AMBIENT_DIRECTED_NOT_PARALLEL,0.4695404478181892,26.902685970664905,AMBIENT_LINE_NOT_PARALLEL,False,False,
VB-W02-E14-LOG-M100-GHALF,VB-W02-E14,0.02,NARROW,1.4,0.51,0.49,0.05334433125747475,Logarithmic,LOG-M100,1.0,0.2487258032484748,GHALF,0.5463024898437905,1.0,10.42477796076938,1.0,0.0959253044777749,0.0,0.0,2.8126280631813176,9.42477796076938,"[1.0, 0.0, 0.0]","[-0.04627509672869318, 1.7001194726708476e-17, 0.22162143309841117]","[0.0, -0.9115596800746897, -0.4111677877243416]","[-0.18068645773237785, 0.646715344675275, 0.741020692662267]",-0.8942034715514902,0.44766075488617907,2.677445042675493,153.40630082353033,1.9463830412082255,AMBIENT_DIRECTED_NOT_PARALLEL,0.46414761091430046,26.59369917646968,AMBIENT_LINE_NOT_PARALLEL,False,False,
VB-W02-E14-LOG-M125-G30,VB-W02-E14,0.02,NARROW,1.4,0.51,0.49,0.05334433125747475,Logarithmic,LOG-M125,1.25,0.3109072540605935,G30,0.5773502691896257,1.0,10.42477796076938,1.0,0.053384660228952954,0.0,0.0,2.956721292039026,9.42477796076938,"[1.0, 0.0, 0.0]","[-0.02834964650382249, 1.0415491154359548e-17, 0.1261005807874578]","[0.0, -0.8746883808035016, -0.484685708977837]","[-0.1071684856268848, 0.5872190041773635, 0.8023021605488705]",-0.9024980314410226,0.43069397864966613,2.6963310645255727,154.48839016733177,1.9506399111271269,AMBIENT_DIRECTED_NOT_PARALLEL,0.4452615890642205,25.511609832668242,AMBIENT_LINE_NOT_PARALLEL,False,False,
VB-W02-E14-LOG-M125-GHALF,VB-W02-E14,0.02,NARROW,1.4,0.51,0.49,0.05334433125747475,Logarithmic,LOG-M125,1.25,0.3109072540605935,GHALF,0.5463024898437905,1.0,10.42477796076938,1.0,0.053384660228952954,0.0,0.0,2.9584006776816585,9.42477796076938,"[1.0, 0.0, 0.0]","[-0.02819906042207032, 1.0360166725455368e-17, 0.12496797613298877]","[0.0, -0.8710820781777648, -0.4911374686149556]","[-0.10605852060237114, 0.5885974112660625, 0.8014391291037181]",-0.906333441332669,0.42256324156519076,2.7053210477787455,155.00347826563186,1.9526051527805972,AMBIENT_DIRECTED_NOT_PARALLEL,0.43627160581104774,24.996521734368155,AMBIENT_LINE_NOT_PARALLEL,False,False,
