pass_number,model_variant,segment_id,sample_count,angular_signed_mean_deg,angular_median_abs_deg,angular_rms_deg,angular_p95_abs_deg,angular_max_abs_deg,transverse_Q_median,transverse_Q_rms,transverse_Q_p95,transverse_Q_max,page_px_median,page_px_rms,page_px_p95,page_px_max
1,primary_length_weighted,S01,401,-28.1188397460847,23.0868458671232,38.9901152584863,76.0047673882157,80.8690761288628,0.0726866605384846,0.109278826643103,0.200251362352849,0.208770548042598,12.3000401871892,18.4918304687873,33.8933231698598,35.3415533219556
1,primary_length_weighted,S02,401,19.4596876383251,17.7826335407167,21.8900172618636,38.738613227097,44.7813191767856,0.0675342907727621,0.0876423794777994,0.161486999044554,0.189250785485709,11.4619899532742,14.8443492297943,27.3086940035503,31.9698647665346
1,primary_length_weighted,S03,401,2.10115559782616,8.45624493215442,12.6084464612652,26.3765291584288,28.8416027896104,0.0361081479776418,0.05351173384387,0.111395821853701,0.121528190343543,6.10376413435389,9.03894067898917,18.8283293360328,20.5432773257042
1,primary_length_weighted,S04,401,-1.00456776872642,7.26569966374946,7.37988912976407,12.3568689182546,14.1582357318983,0.0341963490987679,0.0346251840160614,0.0577117681056414,0.0659641956131024,5.72848522301026,5.80073087684541,9.66690354122851,11.0498000424633
1,primary_length_weighted,S05,401,6.60832447366211,6.86879176734442,10.7074516453973,19.766036455817,20.9682993780307,0.0368817500376726,0.0673020542941979,0.13222399149736,0.139670292035516,6.11954840167361,11.0584760838457,21.6480289219311,22.875192438888
1,primary_length_weighted,S06,401,27.6591858312978,27.5629341902218,27.9047433777775,33.0070200951382,33.488160476394,0.231808046518357,0.244819976443407,0.329259760220065,0.337375053132477,37.4697233556493,39.3856540415113,52.5071431431117,53.7286578410371
1,primary_length_weighted,S07,401,-7.1084673583598,18.7864866676193,23.0869135083998,41.7348098495062,43.7158136194174,0.20130255694244,0.24534316614511,0.44407916316925,0.469560374820831,31.9760084631241,38.9538840616234,70.4620670013036,74.3760711418909
1,primary_length_weighted,S08,401,-43.6104922169159,48.263264889768,44.8461579927395,54.753369465445,54.9290395587106,0.598472251447732,0.586656690414977,0.64384684010175,0.646592002345976,91.3319637839212,88.5864140880313,99.1641590682377,99.6626364116362
1,primary_length_weighted,S09,401,-11.8689114726588,11.890973512426,12.1068998228561,15.6858029731499,16.2030290546761,0.297897693310028,0.298474188634883,0.364321875146886,0.372943321435551,37.0584777392497,37.3532878749715,46.7883699752499,48.070456146694
1,primary_length_weighted,S10,401,18.0658079004943,19.2166747016976,21.5523691606405,34.9056029757178,36.6292709194234,1.21994173409448,4.16071507820936,10.0859831830437,16.7168784176068,86.7283641565223,109.860132025888,192.916831431582,206.711556975995
2,primary_length_weighted,S01,401,-30.2862669837827,32.2732729001122,37.0607935550361,59.5312443545826,59.6862969670997,0.100224675644651,0.108407547383307,0.166316731785301,0.166686551746819,16.9620628226865,18.3447218671965,28.1432216625239,28.2058534735391
2,primary_length_weighted,S02,401,21.6129625193929,22.2541268569032,24.5539639690615,37.9576971493508,38.952130680961,0.0853570937180727,0.0988037470000102,0.157536015420426,0.162422542728427,14.4797452508316,16.7312846980894,26.6510172969487,27.4524230786148
2,primary_length_weighted,S03,401,3.48446636767414,3.45302372782557,9.57978302530671,22.2919800499838,27.4746263838417,0.0153649800564347,0.0406368713036186,0.094249331722004,0.11635634943458,2.58287876315415,6.86658384663632,15.9304486125349,19.664287989837
2,primary_length_weighted,S04,401,-7.57470829508414,8.31287283756345,8.72292214609683,12.9289406876959,13.1349266599788,0.0386496603907704,0.0407326204281509,0.0606928042369663,0.0615611547868815,6.48110691761751,6.82702073537943,10.1683542869056,10.3135130310621
2,primary_length_weighted,S05,401,7.54849337630624,9.3929934294809,11.1569097238545,17.4352100391353,18.6218124779639,0.0544001601737339,0.0704862736230979,0.1163919863073,0.126182985123969,8.98969434557962,11.5856603248155,19.0690162949644,20.6590509321238
2,primary_length_weighted,S06,401,27.0224462288283,26.8469378253124,27.152753715963,30.6638569035155,31.0561155371862,0.225812228135651,0.235617331613372,0.290276243767273,0.296373140477525,36.5056340073874,37.9510074271063,46.3778299790364,47.442114589997
2,primary_length_weighted,S07,401,-6.70394458660307,19.49058781318,24.1981192977193,43.9234266601039,47.2263520552533,0.20825801678585,0.256857726964912,0.464682371568921,0.500058812103775,33.0260226907943,40.7578910470921,73.7113112536122,79.2607024113303
2,primary_length_weighted,S08,401,-44.1313981014541,47.5588298474454,45.5646144198858,56.0892088532284,56.2025059058027,0.613220024576002,0.595856225564251,0.649104699313843,0.653009164514636,93.8747253231203,89.8509859012112,100.289621206421,100.483180752636
2,primary_length_weighted,S09,401,-11.5705293205386,11.5843319374843,11.8774206500772,15.8043087773648,16.3367006750805,0.292720946204063,0.294139584159534,0.368272408614596,0.377138416182178,36.2723191507512,36.7286518277298,47.2207558617139,48.539983762368
2,primary_length_weighted,S10,401,18.1874536226681,18.988395199585,21.701960889674,35.5720929810015,37.4511128844662,1.21464353816626,4.6080595127913,11.1985562334901,19.9780466831345,85.8887364417357,111.056018106048,197.490745390168,212.384071575744
